w_out,LCOH,LCOH_i
1743.6681,0.029115153,0.623109616
840.9295071,0.027179832,0.581690731
3028.453568,0.01602241,0.34290452
1134.477407,0.019666968,0.420903731
633.4212559,0.025822108,0.552633313
4770.137417,0.012646507,0.270654936
1455.728262,0.044717544,0.957025074
3917.414013,0.01955431,0.418492684
8555.845082,0.010009569,0.214220366
1833.871264,0.044192359,0.9457853
905.7936322,0.024203095,0.517983927
2426.618999,0.015300616,0.32745701
208.8234807,0.187364109,4.009883696
1117.008842,0.066787688,1.42936053
138.6305261,0.316969113,6.783632582
3756.991019,0.022535788,0.48230095
1987.114058,0.015936024,0.341055723
654.255543,0.043993338,0.941525931
3529.745637,0.019883729,0.425542766
7985.133067,0.010565712,0.226122697
5244.868914,0.020798006,0.445109711
2232.088352,0.017252987,0.369240788
2610.344484,0.020200219,0.432316139
775.6045663,0.075702215,1.620145274
1487.780795,0.017712864,0.37908287
1767.540184,0.035948132,0.769346002
1308.0496,0.072447009,1.550478798
5377.767116,0.012809686,0.274147217
570.2766331,0.083495226,1.786927844
2376.61478,0.025321614,0.541921976
562.2441701,0.046268838,0.990225175
1131.118308,0.033967993,0.726967945
1786.711485,0.028720055,0.614653906
1599.340461,0.033148396,0.709427298
2457.834872,0.011195276,0.239596335
386.5635483,0.037799427,0.808966595
1566.717418,0.065163529,1.394600994
2622.025493,0.024710767,0.528848888
1162.558705,0.026799002,0.573540378
946.5728387,0.033154159,0.709550639
6290.725577,0.009613427,0.20574231
5001.882813,0.01439403,0.30805465
2334.936805,0.013694681,0.293087508
3003.178894,0.01732551,0.370792888
1851.88517,0.041859752,0.895863876
5062.065422,0.012878156,0.27561259
1693.098953,0.045456016,0.972829529
3070.457157,0.009323341,0.19953401
2839.381477,0.012647199,0.270669756
1448.457925,0.030026228,0.642608039
2365.658744,0.024093346,0.515635119
4059.184186,0.023327737,0.499249892
4773.420214,0.016848478,0.360583656
1329.997691,0.029814254,0.638071453
2530.996747,0.030716464,0.657380153
5117.86561,0.007368133,0.157689512
3447.024352,0.01276908,0.2732782
4181.12295,0.014409927,0.308394883
4498.057276,0.018124317,0.387888606
840.9878297,0.077722117,1.663374327
3050.129734,0.013150165,0.281434005
1199.230767,0.063152658,1.351565222
861.2538241,0.097380969,2.084104383
1827.370925,0.019114545,0.40908102
972.8542408,0.028814715,0.616679779
1445.749149,0.034707595,0.742796589
3249.124434,0.015280465,0.327025744
2166.409012,0.023153922,0.495529986
1687.539245,0.021529884,0.460773037
1936.235365,0.0167019,0.357446665
429.3197126,0.153548548,3.286178017
5473.747551,0.014378015,0.307711918
65.40502819,0.306201397,6.553186702
389.4738826,0.155848754,3.335406013
814.3255588,0.040085549,0.857893173
4563.01667,0.011468587,0.245445617
1342.024419,0.014458227,0.309428575
401.532026,0.037657339,0.805925698
721.9000878,0.045313178,0.969772575
2207.299122,0.04356732,0.93240849
850.4638952,0.046043519,0.985403004
867.6694835,0.037254031,0.797294282
3959.29321,0.01806522,0.386623832
2130.058176,0.014866626,0.31816894
3221.077613,0.021885799,0.46839017
1969.684929,0.039571273,0.84688687
2359.291731,0.023402734,0.500854939
1478.169898,0.023411863,0.501050316
889.3780108,0.089427114,1.913879487
2067.723501,0.040952564,0.876448643
2687.982437,0.020672986,0.4424341
496.4143172,0.041784835,0.894260533
2961.769602,0.013878459,0.29702063
1506.654363,0.026647929,0.570307176
2194.138708,0.02390363,0.511574906
1033.195381,0.090921606,1.945863948
1014.183483,0.069018065,1.477094052
1855.864297,0.022732288,0.48650637
1340.19323,0.026488057,0.56688566
2279.569154,0.025211007,0.539554816
